batch_size,batch_idx,SuccessType,DisplayMetric,SuccessValue,Frequency
1,0,ori_successes,Original,0,25
1,0,ori_successes,Original,1,172
1,0,ori_successes,Original,2,27
1,0,recon_successes,Reconstructed,0,57
1,0,recon_successes,Reconstructed,1,142
1,0,recon_successes,Reconstructed,2,25
1,100,ori_successes,Original,0,30
1,100,ori_successes,Original,1,174
1,100,ori_successes,Original,2,20
1,100,recon_successes,Reconstructed,0,83
1,100,recon_successes,Reconstructed,1,129
1,100,recon_successes,Reconstructed,2,12
1,200,ori_successes,Original,0,23
1,200,ori_successes,Original,1,179
1,200,ori_successes,Original,2,22
1,200,recon_successes,Reconstructed,0,72
1,200,recon_successes,Reconstructed,1,140
1,200,recon_successes,Reconstructed,2,12
1,300,ori_successes,Original,0,22
1,300,ori_successes,Original,1,176
1,300,ori_successes,Original,2,26
1,300,recon_successes,Reconstructed,0,71
1,300,recon_successes,Reconstructed,1,143
1,300,recon_successes,Reconstructed,2,10
1,400,ori_successes,Original,0,18
1,400,ori_successes,Original,1,185
1,400,ori_successes,Original,2,21
1,400,recon_successes,Reconstructed,0,62
1,400,recon_successes,Reconstructed,1,145
1,400,recon_successes,Reconstructed,2,17
2,0,ori_successes,Original,0,2
2,0,ori_successes,Original,1,121
2,0,ori_successes,Original,2,101
2,0,recon_successes,Reconstructed,0,104
2,0,recon_successes,Reconstructed,1,95
2,0,recon_successes,Reconstructed,2,25
2,100,ori_successes,Original,0,4
2,100,ori_successes,Original,1,119
2,100,ori_successes,Original,2,101
2,100,recon_successes,Reconstructed,0,120
2,100,recon_successes,Reconstructed,1,87
2,100,recon_successes,Reconstructed,2,17
2,200,ori_successes,Original,0,6
2,200,ori_successes,Original,1,115
2,200,ori_successes,Original,2,103
2,200,recon_successes,Reconstructed,0,101
2,200,recon_successes,Reconstructed,1,104
2,200,recon_successes,Reconstructed,2,19
2,300,ori_successes,Original,0,3
2,300,ori_successes,Original,1,126
2,300,ori_successes,Original,2,95
2,300,recon_successes,Reconstructed,0,105
2,300,recon_successes,Reconstructed,1,95
2,300,recon_successes,Reconstructed,2,24
2,400,ori_successes,Original,0,4
2,400,ori_successes,Original,1,131
2,400,ori_successes,Original,2,89
2,400,recon_successes,Reconstructed,0,111
2,400,recon_successes,Reconstructed,1,97
2,400,recon_successes,Reconstructed,2,16
4,0,ori_successes,Original,0,1
4,0,ori_successes,Original,1,35
4,0,ori_successes,Original,2,188
4,0,recon_successes,Reconstructed,0,139
4,0,recon_successes,Reconstructed,1,78
4,0,recon_successes,Reconstructed,2,7
4,100,ori_successes,Original,0,1
4,100,ori_successes,Original,1,41
4,100,ori_successes,Original,2,182
4,100,recon_successes,Reconstructed,0,140
4,100,recon_successes,Reconstructed,1,76
4,100,recon_successes,Reconstructed,2,8
4,200,ori_successes,Original,0,1
4,200,ori_successes,Original,1,51
4,200,ori_successes,Original,2,172
4,200,recon_successes,Reconstructed,0,148
4,200,recon_successes,Reconstructed,1,69
4,200,recon_successes,Reconstructed,2,7
4,300,ori_successes,Original,1,45
4,300,ori_successes,Original,2,179
4,300,recon_successes,Reconstructed,0,152
4,300,recon_successes,Reconstructed,1,60
4,300,recon_successes,Reconstructed,2,12
4,400,ori_successes,Original,0,2
4,400,ori_successes,Original,1,40
4,400,ori_successes,Original,2,182
4,400,recon_successes,Reconstructed,0,138
4,400,recon_successes,Reconstructed,1,79
4,400,recon_successes,Reconstructed,2,7
8,0,ori_successes,Original,1,9
8,0,ori_successes,Original,2,215
8,0,recon_successes,Reconstructed,0,158
8,0,recon_successes,Reconstructed,1,62
8,0,recon_successes,Reconstructed,2,4
8,100,ori_successes,Original,1,9
8,100,ori_successes,Original,2,215
8,100,recon_successes,Reconstructed,0,156
8,100,recon_successes,Reconstructed,1,59
8,100,recon_successes,Reconstructed,2,9
8,200,ori_successes,Original,1,8
8,200,ori_successes,Original,2,216
8,200,recon_successes,Reconstructed,0,165
8,200,recon_successes,Reconstructed,1,56
8,200,recon_successes,Reconstructed,2,3
8,300,ori_successes,Original,1,8
8,300,ori_successes,Original,2,216
8,300,recon_successes,Reconstructed,0,170
8,300,recon_successes,Reconstructed,1,50
8,300,recon_successes,Reconstructed,2,4
8,400,ori_successes,Original,1,6
8,400,ori_successes,Original,2,218
8,400,recon_successes,Reconstructed,0,154
8,400,recon_successes,Reconstructed,1,62
8,400,recon_successes,Reconstructed,2,8
16,0,ori_successes,Original,2,224
16,0,recon_successes,Reconstructed,0,172
16,0,recon_successes,Reconstructed,1,46
16,0,recon_successes,Reconstructed,2,6
16,100,ori_successes,Original,2,224
16,100,recon_successes,Reconstructed,0,161
16,100,recon_successes,Reconstructed,1,58
16,100,recon_successes,Reconstructed,2,5
16,200,ori_successes,Original,2,224
16,200,recon_successes,Reconstructed,0,170
16,200,recon_successes,Reconstructed,1,50
16,200,recon_successes,Reconstructed,2,4
16,300,ori_successes,Original,1,1
16,300,ori_successes,Original,2,223
16,300,recon_successes,Reconstructed,0,168
16,300,recon_successes,Reconstructed,1,53
16,300,recon_successes,Reconstructed,2,3
16,400,ori_successes,Original,2,224
16,400,recon_successes,Reconstructed,0,166
16,400,recon_successes,Reconstructed,1,54
16,400,recon_successes,Reconstructed,2,4
